Generaci�n,Fitness Promedio,Fitness M�ximo
233,34535.279142437146,66536.68467898118
234,34750.99341781367,66536.68467898118
235,38393.882468869015,66536.68467898118
236,33640.465825025974,66536.68467898118
237,41114.388364576356,66536.68467898118
238,37036.33273381713,66536.68467898118
239,37600.984595853944,66536.68467898118
240,37368.86333351396,66536.68467898118
241,39887.92306383747,66599.42278457491
242,35415.21384867174,66599.42278457491
243,35268.38766827242,66599.42278457491
244,34855.33438922257,66599.42278457491
245,35256.38479539602,66599.42278457491
246,32558.395223040978,66599.42278457491
247,33651.45640597214,66599.42278457491
248,36224.37205168628,66599.42278457491
249,34518.20693059665,66599.42278457491
250,35549.74330843965,66599.42278457491
251,35683.12552264283,66599.42278457491
252,36321.5754073492,66599.42278457491
253,35390.18496791947,66674.30353713244
254,31776.75619718485,66674.30353713244
255,33504.84396759062,66674.30353713244
256,34018.2772983201,66674.30353713244
257,33842.41908837741,66674.30353713244
258,32926.536087303044,66674.30353713244
259,35125.3476468683,66674.30353713244
260,30417.9814002396,66674.30353713244
261,31672.350525385016,66674.30353713244
262,33064.2232016746,66674.30353713244
263,35995.995187413784,66674.30353713244
264,32656.69702832436,66674.30353713244
265,39253.50926614985,66674.30353713244
266,35522.79126286587,66674.30353713244
267,36503.35779950487,66674.30353713244
268,35807.32705989378,66674.30353713244
269,33606.46312217344,66674.30353713244
270,36429.301127243365,66674.30353713244
271,35195.88096620399,66674.30353713244
272,33618.76823717214,66674.30353713244
273,36309.267798149274,66674.30353713244
274,39160.71956522743,66854.00609014728
275,38465.01290064229,66854.00609014728
276,34601.05286744714,66854.00609014728
277,31832.32487672819,66854.00609014728
278,35293.70897134933,66854.00609014728
279,35203.20596012933,66854.00609014728
280,40594.48355348061,66854.00609014728
281,31988.933475001773,66854.00609014728
282,32752.60790939653,66870.12481036279
283,33841.71472771627,66870.12481036279
284,38489.23664585383,66870.12481036279
285,36385.78248426594,66870.12481036279
286,35102.79493224134,66870.12481036279
287,33873.447417351126,66870.12481036279
288,35710.769824603485,66870.12481036279
289,32449.60139046789,66870.12481036279
290,32183.6576201716,66870.12481036279
291,34829.34098905014,66870.12481036279
292,39973.92629229375,66870.12481036279
293,35847.643427431656,66870.12481036279
294,35698.434581486545,66870.12481036279
295,31165.018565618313,66870.12481036279
296,36435.182700527235,66870.12481036279
297,34863.02573828426,66870.12481036279
298,33052.89856242333,66870.12481036279
299,31760.81823225593,67019.91927678116
300,34720.836596615234,67019.91927678116
301,33136.53926820452,67020.00282889153
302,34990.82808863322,67020.00282889153
303,34260.33218796059,67020.00282889153
304,36447.169453614675,67020.00282889153
305,33947.2859874305,67020.00282889153
306,34020.816779447974,67020.00282889153
307,35061.25540022929,67020.00282889153
308,33093.81085529232,67020.00282889153
309,32877.32523980065,67020.00282889153
310,35157.364162130194,67020.00282889153
311,34755.9940280913,67020.00282889153
312,32435.1986557848,67020.00282889153
313,33562.972600317284,67020.00282889153
314,36722.23905913441,67020.00282889153
315,38920.610752424756,67020.00282889153
316,35960.80121357442,67020.00282889153
317,35295.46059553913,67020.00282889153
318,33238.212033164426,67020.00282889153
319,35089.140763694115,67020.00282889153
